,Year,State,Number of CoCs,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families
47,2013,UT,3,3277,2859,418,1959,1593,366,1318,1266,52
48,2013,VA,16,7625,6603,1022,4532,3587,945,3093,3016,77
49,2013,VI,1,482,119,363,444,81,363,38,38,0
50,2013,VT,2,1454,1270,184,701,547,154,753,723,30
51,2013,WA,7,17760,12707,5053,10617,6032,4585,7143,6675,468
52,2013,WI,4,6104,5736,368,3005,2703,302,3099,3033,66
53,2013,WV,4,2240,1612,628,1544,1038,506,696,574,122
54,2013,WY,1,953,501,452,677,306,371,276,195,81
55,2013,Total,415,590364,394698,195666,368174,203127,165047,222190,191571,30619
0,2014,AK,2,1784,1639,145,1209,1109,100,575,530,45
1,2014,AL,8,4561,3518,1043,3115,2373,742,1446,1145,301
2,2014,AR,6,2936,1503,1433,2303,1070,1233,633,433,200
3,2014,AZ,3,10495,7926,2569,6194,3851,2343,4301,4075,226
4,2014,CA,40,113952,42515,71437,90765,24857,65908,23187,17658,5529
5,2014,CO,3,10028,8083,1945,5573,4035,1538,4455,4048,407
6,2014,CT,6,4450,3531,919,3069,2243,826,1381,1288,93
7,2014,DC,1,7748,7352,396,3953,3557,396,3795,3795,0
8,2014,DE,1,901,864,37,584,554,30,317,310,7
9,2014,FL,28,41542,19851,21691,28730,12886,15844,12812,6965,5847
10,2014,GA,9,16521,8214,8307,12403,4932,7471,4118,3282,836
11,2014,GU,1,1356,126,1230,332,37,295,1024,89,935
12,2014,HI,2,6918,3813,3105,3750,1164,2586,3168,2649,519
13,2014,IA,3,3122,2926,196,1544,1368,176,1578,1558,20
14,2014,ID,2,2104,1468,636,1234,848,386,870,620,250
15,2014,IL,20,13107,11409,1698,7350,5793,1557,5757,5616,141
16,2014,IN,3,5971,5568,403,3953,3560,393,2018,2008,10
17,2014,KS,5,2783,2534,249,1533,1295,238,1250,1239,11
18,2014,KY,3,5089,4258,831,3352,2805,547,1737,1453,284
19,2014,LA,9,4606,3503,1103,3444,2364,1080,1162,1139,23
20,2014,MA,18,21237,20478,759,6788,6041,747,14449,14437,12
21,2014,MD,16,7856,6267,1589,4980,3872,1108,2876,2395,481
22,2014,ME,2,2726,2633,93,1348,1282,66,1378,1351,27
23,2014,MI,21,12227,10075,2152,7535,5916,1619,4692,4159,533
24,2014,MN,10,8377,7582,795,3652,3006,646,4725,4576,149
25,2014,MO,8,7282,6309,973,4307,3651,656,2975,2658,317
26,2014,MP,0,.,.,.,.,.,.,.,.,.
27,2014,MS,3,2226,1405,821,1714,933,781,512,472,40
28,2014,MT,1,1745,911,834,1167,493,674,578,418,160
29,2014,NC,12,11491,8874,2617,7498,5738,1760,3993,3136,857
30,2014,ND,1,1258,794,464,886,526,360,372,268,104
31,2014,NE,3,3026,2917,109,1893,1788,105,1133,1129,4
32,2014,NH,3,1376,1243,133,795,676,119,581,567,14
33,2014,NJ,17,11671,10736,935,6446,5536,910,5225,5200,25
34,2014,NM,2,2746,2318,428,1804,1429,375,942,889,53
35,2014,NV,3,8582,4797,3785,7356,3571,3785,1226,1226,0
36,2014,NY,29,80590,76487,4103,32643,28600,4043,47947,47887,60
37,2014,OH,9,11823,10720,1103,7704,6769,935,4119,3951,168
38,2014,OK,8,4191,3259,932,2964,2291,673,1227,968,259
39,2014,OR,7,12164,6101,6063,7988,3665,4323,4176,2436,1740
40,2014,PA,18,15333,14301,1032,8359,7420,939,6974,6881,93
41,2014,PR,2,4132,1406,2726,3432,1019,2413,700,387,313
42,2014,RI,1,1190,1170,20,779,761,18,411,409,2
43,2014,SC,4,5057,3249,1808,3813,2252,1561,1244,997,247
44,2014,SD,1,885,830,55,490,450,40,395,380,15
45,2014,TN,10,9415,6383,3032,6800,4693,2107,2615,1690,925
46,2014,TX,12,28495,18228,10267,19177,9758,9419,9318,8470,848
47,2014,UT,3,3081,2768,313,1729,1540,189,1352,1228,124
48,2014,VA,16,7020,6330,690,4234,3570,664,2786,2760,26
49,2014,VI,1,448,85,363,425,62,363,23,23,0
50,2014,VT,2,1559,1396,163,823,704,119,736,692,44
51,2014,WA,7,18442,12540,5902,11390,6257,5133,7052,6283,769
52,2014,WI,4,6055,5712,343,2929,2676,253,3126,3036,90
53,2014,WV,4,2013,1583,430,1488,1175,313,525,408,117
54,2014,WY,1,757,563,194,463,327,136,294,236,58
55,2014,Total,414,576450,401051,175399,360189,209148,151041,216261,191903,24358
0,2015,AK,2,1956,1639,317,1342,1084,258,614,555,59
1,2015,AL,8,3970,2943,1027,2868,2076,792,1102,867,235
2,2015,AR,7,2560,1678,882,1833,1089,744,727,589,138
3,2015,AZ,3,9896,6939,2957,6548,3824,2724,3348,3115,233
4,2015,CA,43,115738,42039,73699,93156,24843,68313,22582,17196,5386
5,2015,CO,3,9953,7134,2819,5729,3739,1990,4224,3395,829
6,2015,CT,3,4047,3421,626,2719,2124,595,1328,1297,31
7,2015,DC,1,7298,6754,544,3821,3277,544,3477,3477,0
8,2015,DE,1,953,916,37,602,565,37,351,351,0
9,2015,FL,27,35900,18883,17017,26325,12033,14292,9575,6850,2725
10,2015,GA,9,13790,7987,5803,9702,4783,4919,4088,3204,884
11,2015,GU,1,1280,87,1193,306,23,283,974,64,910
12,2015,HI,2,7620,3777,3843,4307,1243,3064,3313,2534,779
13,2015,IA,3,3081,2878,203,1501,1302,199,1580,1576,4
14,2015,ID,2,1966,1497,469,1172,832,340,794,665,129
15,2015,IL,20,13177,10463,2714,8152,5599,2553,5025,4864,161
16,2015,IN,3,5863,5280,583,3914,3353,561,1949,1927,22
17,2015,KS,5,2588,2283,305,1466,1191,275,1122,1092,30
18,2015,KY,3,4538,3796,742,3151,2622,529,1387,1174,213
19,2015,LA,9,4081,2890,1191,3217,2053,1164,864,837,27
20,2015,MA,16,21135,20542,593,6378,5814,564,14757,14728,29
21,2015,MD,16,8390,6594,1796,5383,3987,1396,3007,2607,400
22,2015,ME,2,2372,2313,59,1219,1170,49,1153,1143,10
23,2015,MI,21,10516,9444,1072,6546,5553,993,3970,3891,79
24,2015,MN,10,7546,6705,841,3622,2987,635,3924,3718,206
25,2015,MO,8,6482,5411,1071,3434,2640,794,3048,2771,277
26,2015,MP,0,.,.,.,.,.,.,.,.,.
27,2015,MS,3,1983,1141,842,1475,693,782,508,448,60
28,2015,MT,1,1709,837,872,1127,478,649,582,359,223
29,2015,NC,12,10685,8260,2425,7156,5372,1784,3529,2888,641
30,2015,ND,1,1305,819,486,864,591,273,441,228,213
31,2015,NE,3,2744,2621,123,1720,1597,123,1024,1024,0
32,2015,NH,3,1445,1313,132,778,666,112,667,647,20
33,2015,NJ,16,10098,9124,974,6189,5293,896,3909,3831,78
34,2015,NM,2,2629,2175,454,1666,1237,429,963,938,25
35,2015,NV,3,8743,4528,4215,7858,3646,4212,885,882,3
36,2015,NY,27,88250,84228,4022,36135,32172,3963,52115,52056,59
37,2015,OH,9,11182,10083,1099,7565,6590,975,3617,3493,124
38,2015,OK,8,3777,2999,778,2781,2111,670,996,888,108
39,2015,OR,7,13226,5831,7395,9461,4048,5413,3765,1783,1982
40,2015,PA,16,15421,13993,1428,8605,7276,1329,6816,6717,99
41,2015,PR,2,4518,1421,3097,3929,1029,2900,589,392,197
42,2015,RI,1,1111,1075,36,706,673,33,405,402,3
43,2015,SC,4,5354,3458,1896,3934,2465,1469,1420,993,427
44,2015,SD,1,1036,900,136,630,506,124,406,394,12
45,2015,TN,10,9123,5879,3244,6516,4075,2441,2607,1804,803
46,2015,TX,11,23678,16192,7486,16265,9234,7031,7413,6958,455
47,2015,UT,3,3025,2799,226,1809,1605,204,1216,1194,22
48,2015,VA,16,7001,6190,811,4190,3434,756,2811,2756,55
49,2015,VI,1,337,85,252,308,56,252,29,29,0
50,2015,VT,2,1523,1373,150,910,775,135,613,598,15
51,2015,WA,7,19419,12298,7121,12526,6200,6326,6893,6098,795
52,2015,WI,4,6057,5615,442,2992,2647,345,3065,2968,97
53,2015,WV,4,1835,1403,432,1414,1049,365,421,354,67
54,2015,WY,1,798,507,291,500,292,208,298,215,83
55,2015,Total,406,564708,391440,173268,358422,205616,152806,206286,185824,20462
0,2016,AK,2,1940,1498,442,1527,1089,438,413,409,4
1,2016,AL,8,4111,2893,1218,3019,2017,1002,1092,876,216
2,2016,AR,7,2463,1616,847,1838,1140,698,625,476,149
3,2016,AZ,3,9707,6463,3244,6659,3564,3095,3048,2899,149
4,2016,CA,43,118142,39752,78390,97660,23720,73940,20482,16032,4450
5,2016,CO,3,10550,7611,2939,6450,4352,2098,4100,3259,841
6,2016,CT,2,3902,3229,673,2570,1903,667,1332,1326,6
7,2016,DC,1,8350,8032,318,3683,3365,318,4667,4667,0
8,2016,DE,1,1070,1019,51,753,702,51,317,317,0
9,2016,FL,27,33559,18198,15361,24201,11641,12560,9358,6557,2801
10,2016,GA,9,12909,7543,5366,9265,4785,4480,3644,2758,886
11,2016,GU,1,1085,112,973,227,18,209,858,94,764
12,2016,HI,2,7921,3613,4308,4590,1282,3308,3331,2331,1000
13,2016,IA,3,3064,2921,143,1543,1400,143,1521,1521,0
14,2016,ID,2,2247,1509,738,1284,886,398,963,623,340
15,2016,IL,20,11590,9736,1854,6986,5226,1760,4604,4510,94
16,2016,IN,3,5798,5107,691,3824,3158,666,1974,1949,25
17,2016,KS,5,2255,1973,282,1228,956,272,1027,1017,10
18,2016,KY,3,4237,3531,706,2949,2400,549,1288,1131,157
19,2016,LA,9,3994,2853,1141,3176,2069,1107,818,784,34
20,2016,MA,16,19608,18848,760,6434,5690,744,13174,13158,16
21,2016,MD,16,7689,6161,1528,4983,3751,1232,2706,2410,296
22,2016,ME,2,2241,2121,120,1321,1215,106,920,906,14
23,2016,MI,21,9316,8356,960,5803,4973,830,3513,3383,130
24,2016,MN,10,7341,6452,889,3669,2902,767,3672,3550,122
25,2016,MO,8,6194,4978,1216,3810,2830,980,2384,2148,236
26,2016,MP,0,.,.,.,.,.,.,.,.,.
27,2016,MS,3,1738,889,849,1299,556,743,439,333,106
28,2016,MT,1,1418,788,630,844,443,401,574,345,229
29,2016,NC,12,9559,7250,2309,6396,4682,1714,3163,2568,595
30,2016,ND,1,923,707,216,662,509,153,261,198,63
31,2016,NE,3,2754,2653,101,1880,1779,101,874,874,0
32,2016,NH,3,1366,1223,143,827,695,132,539,528,11
33,2016,NJ,15,8895,7461,1434,5540,4187,1353,3355,3274,81
34,2016,NM,2,2263,1809,454,1556,1127,429,707,682,25
35,2016,NV,3,7398,3471,3927,6853,2937,3916,545,534,11
36,2016,NY,26,86352,82761,3591,35315,31793,3522,51037,50968,69
37,2016,OH,9,10404,9266,1138,6946,5890,1056,3458,3376,82
38,2016,OK,8,4107,3087,1020,2997,2120,877,1110,967,143
39,2016,OR,7,13238,5236,8002,9379,3658,5721,3859,1578,2281
40,2016,PA,16,15339,13664,1675,8599,7080,1519,6740,6584,156
41,2016,PR,2,4418,1321,3097,3799,899,2900,619,422,197
42,2016,RI,1,1160,1123,37,859,822,37,301,301,0
43,2016,SC,4,5051,3361,1690,3758,2340,1418,1293,1021,272
44,2016,SD,1,1072,887,185,548,446,102,524,441,83
45,2016,TN,10,8779,5773,3006,6652,4202,2450,2127,1571,556
46,2016,TX,11,23122,16214,6908,15959,9315,6644,7163,6899,264
47,2016,UT,3,2807,2571,236,1828,1612,216,979,959,20
48,2016,VA,16,6268,5502,766,3959,3245,714,2309,2257,52
49,2016,VI,1,341,89,252,308,56,252,33,33,0
50,2016,VT,2,1117,961,156,655,516,139,462,445,17
51,2016,WA,7,20827,12361,8466,13900,6389,7511,6927,5972,955
52,2016,WI,4,5685,5275,410,2886,2495,391,2799,2780,19
53,2016,WV,4,1387,1252,135,1039,904,135,348,348,0
54,2016,WY,1,857,491,366,517,277,240,340,214,126
55,2016,Total,402,549928,373571,176357,355212,198008,157204,194716,175563,19153
0,2017,AK,2,1845,1551,294,1354,1060,294,491,491,0
1,2017,AL,8,3793,2656,1137,2985,1950,1035,808,706,102
2,2017,AR,6,2467,1273,1194,2068,937,1131,399,336,63
3,2017,AZ,3,8947,5781,3166,6488,3423,3065,2459,2358,101
4,2017,CA,43,131532,42636,88896,110260,25022,85238,21272,17614,3658
5,2017,CO,3,10940,7081,3859,7571,4719,2852,3369,2362,1007
6,2017,CT,2,3388,2972,416,2208,1796,412,1180,1176,4
7,2017,DC,1,7473,6576,897,3583,2686,897,3890,3890,0
8,2017,DE,1,994,936,58,615,563,52,379,373,6
9,2017,FL,27,32190,17111,15079,22768,10931,11837,9422,6180,3242
10,2017,GA,9,10174,6651,3523,7422,4102,3320,2752,2549,203
11,2017,GU,1,852,87,765,215,17,198,637,70,567
12,2017,HI,2,7220,3420,3800,4535,1258,3277,2685,2162,523
13,2017,IA,3,2756,2652,104,1500,1396,104,1256,1256,0
14,2017,ID,2,2037,1398,639,1309,857,452,728,541,187
